Bias,OutgroupAttitudes,SymbolicThreat,BigFiveAgreeable,GeneralizedThreat,ID.fSELFINVESTMENT,Contact_quality,Contact_numberfriends
0.42769929,-0.94321663,-0.508961426,-0.96731469,0.106770003,0.352678366,-0.63012663,0.761363641
-0.60665066,-0.16241654,-0.849220947,0.81417553,0.106770003,0.542733125,1.575970776,-0.238636359
-0.60665066,-1.13896358,0.728971374,0.22034546,-0.596902463,-0.783267284,-1.047319325,-0.238636359
-0.60665066,-0.16241654,-0.801958333,0.39045741,0.106770003,-1.560739554,0.733274421,-0.238636359
-0.93044267,-0.16241654,-0.801958333,0.0502335,0.500061884,-1.18098138,-0.322262472,-0.238636359
0.98380698,-0.16241654,0.228241458,0.64406358,-4.094715896,0.924348105,-0.035538982,-0.238636359
1.27909661,-0.16241654,-0.89648356,0.0502335,1.514114935,1.322370272,-0.322262472,-0.238636359
-0.60665066,-0.16241654,-0.707433107,-0.11987845,-1.09365454,-0.788412762,0.03834397,-0.238636359
-0.60665066,-0.16241654,0.150260792,-0.11987845,-1.590406616,-1.122472969,0.203583991,-0.238636359
-1.90181868,0.21941077,-0.991008786,0.47395162,-0.720911556,-2.586762779,2.097350242,1.761363641
-0.60665066,-0.16241654,-0.526893071,-0.96731469,0.106770003,-1.686587968,-0.565229412,-0.238636359
1.27909661,-0.16241654,1.087913451,-0.11987845,1.307194545,0.452969967,0.611790951,-0.238636359
0.01243097,1.79067754,-0.621418297,-1.13742665,-0.493442268,1.51584209,-0.443745942,-0.238636359
0.33622297,-1.13896358,0.048452333,0.47395162,-1.797327006,-0.522179968,-0.443745942,-0.238636359
-0.60665066,-0.16241654,1.98558673,0.0502335,-2.707919862,-0.123795557,-0.32610644,-0.238636359
3.48863588,-2.30642428,3.006365293,0.47395162,4.308255901,1.429766221,-1.168802795,-0.238636359
0.56853865,-1.13896358,0.902228177,-0.28999041,0.003309808,0.655275437,-0.925835855,-0.238636359
-1.61249825,0.42746989,-0.943746173,-0.37348462,-0.596902463,-2.580824378,1.623571294,-0.238636359
-0.37433498,-0.35816349,-0.281158776,0.0502335,0.106770003,-1.499166791,0.203583991,-0.238636359
3.16484388,-1.13896358,0.418042821,-0.11987845,1.41065474,0.595050046,-1.047319325,-0.238636359
-0.60665066,2.76722458,-0.849220947,0.0502335,0.106770003,1.818471319,1.984177736,-0.238636359
1.04678093,-2.11551062,-0.157302582,-0.11987845,1.224283248,-0.046205881,-1.407925767,-0.238636359
-1.5495243,-0.16241654,-0.849220947,-0.96731469,-2.604459667,-1.313189536,-0.157022452,-0.238636359
-1.2257323,-0.16241654,-0.943746173,-0.96731469,-1.300574929,-1.983628692,0.446550931,-0.238636359
-0.60665066,-0.16241654,-0.849220947,-0.79720274,-1.610955514,-0.549410735,-1.168802795,-0.238636359
-0.28285866,1.59976388,-0.801958333,0.39045741,0.210230198,0.571585786,1.215364334,-0.238636359
1.27909661,-0.16241654,0.794916543,0.64406358,0.106770003,0.159050953,-1.094919843,-0.238636359
-1.5495243,0.8141305,-0.574155684,-0.11987845,-0.803822853,-0.033493586,-0.148036717,0.761363641
-0.60665066,2.76722458,-0.991008786,0.81417553,0.106770003,-0.360497867,1.984177736,-0.238636359
0.16688124,-0.16241654,0.142977559,0.0502335,0.106770003,-0.837610085,0.325067461,-0.238636359
0.8774392,0.22424406,0.805564955,-0.11987845,0.913902664,0.971055828,-2.224339688,-0.238636359
0.10390729,0.03333041,0.25543443,0.22034546,0.106770003,0.387747015,0.494826219,2.761363641
0.16688124,-0.16241654,-0.215964518,0.0502335,-1.197114734,1.041785346,0.085944488,-0.238636359
-1.45804798,-0.16241654,-0.89648356,0.39045741,-3.411592328,-1.651267138,1.984177736,-0.238636359
-1.2257323,0.62321684,-0.991008786,0.22034546,-2.604459667,-0.219656952,1.511073559,0.761363641
-0.60665066,-0.16241654,-0.991008786,0.22034546,-3.411592328,-0.448795931,0.816143107,0.761363641
0.56853865,-0.16241654,1.98558673,-0.37348462,2.114327206,0.408976752,-0.686712882,-0.238636359
1.43354688,-0.16241654,-0.556224039,0.64406358,0.106770003,2.462647523,1.093880864,-0.238636359
1.51141229,-2.31125757,4.017246354,-1.39103282,1.82449552,2.599799869,-1.746093743,-0.238636359
-0.83896634,-0.16241654,0.029769777,0.22034546,-0.493442268,-2.024241296,0.398950412,-0.238636359
0.33622297,0.8141305,1.087913451,-0.54359657,0.003309808,-0.189004416,-0.148036717,0.761363641
-0.60665066,-0.16241654,-0.132087704,0.0502335,0.003309808,0.551506083,-0.686712882,-0.238636359
1.67947347,-1.53310307,-0.801958333,0.64406358,0.106770003,-0.038238669,-1.337886783,-0.238636359
-0.60665066,-0.16241654,-0.526893071,0.64406358,-0.803822853,-0.577333121,0.325067461,-0.238636359
-0.60665066,-0.16241654,-0.849220947,0.39045741,0.106770003,-1.914320608,-0.269520187,0.761363641
3.16484388,-1.13896358,3.383989926,0.22034546,5.736149732,1.653828274,-0.760595834,-0.238636359
0.24474665,-0.35816349,0.425326055,0.0502335,2.217787401,0.5825074,-0.686712882,-0.238636359
-0.60665066,-0.16241654,-0.991008786,-0.62709079,-2.211167785,-0.958685648,1.984177736,-0.238636359
2.60873619,-0.94804993,2.278583638,0.0502335,0.106770003,1.855233284,-0.20462297,-0.238636359
0.66001497,-3.09205766,1.182438677,-0.45697883,2.404158893,-0.76013722,-1.698493225,-0.238636359
-0.60665066,-0.16241654,-0.650749265,-0.62709079,0.106770003,-0.425795998,-0.0831395,-0.238636359
1.27909661,-1.13896358,1.135176064,-0.28999041,-0.596902463,0.644974509,-1.334042815,-0.238636359
-0.76110094,0.8141305,1.351579391,-0.11987845,-0.700362658,0.271130262,-0.043849946,1.761363641
-0.05054298,-0.35816349,-0.18663355,-0.71370853,-2.004247395,0.184153284,0.325067461,-0.238636359
1.60288861,-0.3533302,-0.204565195,0.22034546,2.217787401,1.281928053,0.759556855,-0.238636359
-0.54367671,-0.16241654,1.608713008,0.22034546,1.20373435,0.153353934,-0.565229412,-0.238636359
0.33622297,-1.13896358,-0.849220947,-1.05080891,0.106770003,-2.084307585,0.260170243,0.761363641
-0.60665066,-0.16241654,-0.849220947,-0.54359657,-0.493442268,-0.025322659,0.03834397,-0.238636359
-0.60665066,-0.16241654,-0.461698813,0.22034546,0.106770003,-0.425859572,0.263333287,-0.238636359
-0.37433498,0.02849711,-0.574155684,0.47395162,1.907406816,0.411496125,0.03834397,-0.238636359
-0.60665066,-0.16241654,0.418042821,-0.11987845,0.106770003,0.503073304,-1.985216716,-0.238636359
-0.60665066,-0.16241654,-0.006093514,0.64406358,0.106770003,0.624122811,0.008217569,-0.238636359
0.49067324,-0.94804993,0.465305434,-0.11987845,-1.09365454,0.205702886,-0.682868915,-0.238636359
